"id","name","fgroup","priority","description","cron","server","bean","method","parameter","path","isdelete","createdate"
41,"新增productRefresh","亚马逊商品",78,"亚马逊商品productRefresh","43 40 19 * * ?","wimoor-amazon","amzProductRefreshController","insertAction","","http://wimoor-amazon/amazon/api/v1/report/product/amzProductRefresh/insert",0,"2022-07-26 11:16:56"
66,"更新商品对象2","亚马逊商品",63,"亚马逊产品更新商品对象2","0/50 * 8-18 * * ?","wimoor-amazon","amzProductRefreshController","refreshAction","","http://wimoor-amazon/amazon/api/v1/report/product/amzProductRefresh/refresh",0,"2022-07-14 10:46:11"
67,"消息订阅","亚马逊消息",58,"亚马逊消息订阅","0 5 13 * * ?","wimoor-amazon","amzNotificationsController","refreshSubscriptionsAction","","http://wimoor-amazon/amazon/api/v1/amzNotifications/refreshSubscriptions",0,"2022-08-06 14:52:18"
110,"流量","亚马逊报表",93,"亚马逊流量报表","20 20 16 * * ?","wimoor-amazon","reportController","requestReportAction","GET_SALES_AND_TRAFFIC_REPORT","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_SALES_AND_TRAFFIC_REPORT",0,"2022-06-09 14:35:49"
111,"发票","亚马逊报表",80,"亚马逊发票报表","55 30 16 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FLAT_FILE_ORDER_REPORT_DATA_INVOICING","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FLAT_FILE_ORDER_REPORT_DATA_INVOICING",0,"2022-08-26 15:34:06"
112,"发货跟踪","亚马逊FBA",81,"亚马逊发票报表","55 0 19 * * ?","wimoor-amazon","ShipFormController","refreshShipmentAction","","http://wimoor-amazon/amazon/api/v1/shipForm/refreshShipment",0,"2022-08-26 15:34:06"
120,"欧洲库存","亚马逊报表",98,"亚马逊欧洲库存报表","10 40 6 * * ?","wimoor-amazon","reportController","requestReportAction","GET_AFN_INVENTORY_DATA_BY_COUNTRY","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_AFN_INVENTORY_DATA_BY_COUNTRY",0,"2022-06-09 14:35:46"
130,"新滞销","亚马逊报表",110,"亚马逊库龄报表","0 30 12 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_INVENTORY_PLANNING_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_INVENTORY_PLANNING_DATA",0,"2022-06-09 14:35:47"
131,"轻小","亚马逊报表",94,"亚马逊轻小报表","0 12 20,21 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_UNO_INVENTORY_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_UNO_INVENTORY_DATA",0,"2022-06-09 14:35:47"
132,"流量2","亚马逊报表",93,"亚马逊流量报表2","20 10 13 * * ?","wimoor-amazon","reportController","requestReportAction","GET_SALES_AND_TRAFFIC_REPORT","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_SALES_AND_TRAFFIC_REPORT",0,"2022-06-09 14:35:49"
